Sample_name;Sampling_origin;Elt1;Elt2;Elt3;Elt4;Elt5;Elt6;Elt7
S6_3;Site6;0,709995266;9,05E-02;0,519062743;4,02E-03;1153,296798;69,85415493;3,513620674
S6_4;Site6;0,710027236;0,135815363;1,352325753;3,85E-03;1564,941345;126,589501;4,655902937
S6_5;Site6;0,710034568;7,94E-02;1,489071482;4,12E-03;1177,092659;144,3127972;2,498307816
S6_6;Site6;0,710036442;7,50E-02;9,903044042;4,19E-03;1934,773711;585,4644841;2,402859191
S6_7;Site6;0,71003827;0,118399958;5,953910417;3,99E-03;1168,334396;72,72674738;2,233964704
S6_8;Site6;0,710046004;8,36E-02;2,634422828;4,00E-03;1681,640738;235,922051;1,870319927
S6_9;Site6;0,710051565;8,82E-02;0,702207873;4,11E-03;1179,660312;63,31288357;4,217304201
S6_10;Site6;0,710077215;8,82E-02;6,500860112;4,20E-03;1979,013649;143,7903262;59,5216041
S6_11;Site6;0,710108006;0,12650448;1,313459166;3,93E-03;1758,65435;176,7632967;4,863243534
S6_12;Site6;0,71010929;0,135811562;1,501383868;3,75E-03;1740,66795;114,1231439;9,39895912
S6_13;Site6;0,710149129;0,076611533;0,270248625;3,89E-03;1256,102119;63,94958506;5,49538513
S6_14;Site6;0,710151578;6,53E-02;2,784966251;3,55E-03;2782,421666;411,6155966;17,29914555
S6_15;Site6;0,710202308;9,70E-02;1,347380599;4,24E-03;2014,917222;154,7745809;5,119716347
S6_16;Site6;0,710265942;0,176360007;3,021378026;4,00E-03;2065,065706;261,8798465;9,186403805
S6_17;Site6;0,710294834;0,141083141;0,380736803;4,06E-03;1804,366042;116,465331;5,205157174
S6_18;Site6;0,710397046;7,00E-02;0,611447774;4,12E-03;678,4760849;45,39563362;3,910289952
S6_19;Site6;0,710478042;0,132329221;0,789175318;4,03E-03;1503,077849;102,4076609;2,797978245
